rank,token,ID,cosine
1,Linux,19314,0.7717755436897278
2,[sp]linux,32639,0.7248371243476868
3,[sp]Ubuntu,14949,0.635330855846405
4,[sp]Unix,33501,0.6295530200004578
5,linux,23289,0.627209484577179
6,[sp]Windows,3964,0.6063732504844666
7,[sp]GNU,22961,0.594306230545044
8,[sp]Debian,26062,0.585484504699707
9,[sp]FreeBSD,35841,0.5853595733642578
10,Windows,11209,0.5776693224906921
11,[sp]Android,5565,0.5577481389045715
12,[sp]GNOME,40339,0.5558439493179321
13,[sp]CentOS,32418,0.5243101119995117
14,[sp]Fedora,32245,0.5187997221946716
15,Android,25934,0.5164864659309387
16,[sp]filesystem,29905,0.5163335204124451
17,[sp]macOS,40017,0.5142228603363037
18,[sp]kernel,9720,0.5080589056015015
19,[sp]KDE,36632,0.5036569237709045
20,[sp]USB,8450,0.4994860291481018
