rank,token,ID,logit,probability
1,[sp]be,307,-120.7393798828125,0.2731826603412628
2,[sp]ever,1683,-121.9061508178711,0.08506109565496445
3,[sp]allow,1249,-122.5594482421875,0.04425960034132004
4,[sp]support,1104,-122.85308837890625,0.03299751132726669
5,[sp]have,423,-122.86455535888672,0.032621290534734726
6,[sp]continue,2555,-122.90957641601562,0.031185215339064598
7,[sp]work,670,-123.22067260742188,0.022847643122076988
8,[sp]make,787,-123.37056732177734,0.01966721937060356
9,[sp]accept,2453,-123.61192321777344,0.015449820086359978
10,[sp]still,991,-123.81736755371094,0.012580563314259052
11,[sp]offer,2897,-124.03721618652344,0.010097666643559933
12,[sp]run,1057,-124.12983703613281,0.009204416535794735
