position,raw BPE,decoded piece,ID,character span,source slice
0,At,'At',2953,0:2,'At'
1,ĠOracle,' Oracle',18650,2:9,' Oracle'
2,ĠPark,' Park',3250,9:14,' Park'
3,",","','",11,14:15,"','"
4,ĠTr,' Tr',833,15:18,' Tr'
5,ina,'ina',1437,18:21,'ina'
6,Ġasked,' asked',1965,21:27,' asked'
7,Ġthe,' the',262,27:31,' the'
8,Ġold,' old',1468,31:35,' old'
9,Ġor,' or',393,35:38,' or'
10,acle,'acle',6008,38:42,'acle'
11,Ġwhether,' whether',1771,42:50,' whether'
12,ĠOracle,' Oracle',18650,50:57,' Oracle'
13,ĠLinux,' Linux',7020,57:63,' Linux'
14,Ġwould,' would',561,63:69,' would'
15,Ġboot,' boot',6297,69:74,' boot'
16,Ġbefore,' before',878,74:81,' before'
17,Ġthe,' the',262,81:85,' the'
18,Ġdatabase,' database',6831,85:94,' database'
19,Ġdemo,' demo',13605,94:99,' demo'
20,.,'.',13,99:100,'.'
